"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Osallistuin paikalliskisaan?","Jos Jyväskylässä järjestettäisiin polkujuoksukisa, niin..."
"2021/12/25 7:29:47 PM GMT+2","30-40","mies","ultran","neljästi viikossa","3100m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Laajis;Touruvuori;Halssila;Kanavuori;Sippulanniemi;Mäyrämäki","juoksen alkulämpät;pyörällä;omalla autolla","5-7","5-7","5-7","5-7","5-7","5-7;7-10;10-12","5-7;7-10;10-12","2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 7:50:11 PM GMT+2","30-40","mies","puolimaratonin","kuudesti viikossa","3200m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin","kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Ruuhkavuodet","En","","Laajis;Kuokkala;Keskusta;Sippulanniemi","juoksen alkulämpät;pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15","7-10;10-12;12-15","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","","En","Osallistuisin varmasti"
"2021/12/25 7:59:59 PM GMT+2","40-50","mies","ultran","neljästi viikossa","2700m","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","juoksen alkulämpät","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","7-10;10-12;15-17;17-19;19-21","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","viikkoa aiemmin","En ole päässyt osallistumaan","Yhteislenkit;Facebook-läppä;Juoksublogit tai tarinat","En","Osallistuisin varmasti"
"2021/12/25 8:08:01 PM GMT+2","50-60","nainen","1km lenkin;5km lenkin;10km lenkin;puolimaratonin","kolmesti viikossa","2400m","nauttia luonnosta","pidempi yhtenäinen juoksuvaellus","Covid 19 aiheuttamat rajoitteet","Joo","ihan sopiva kaikin puolin ja mukava","Kaikki käy.","Riippuu sijainnista.","17-19","","17-19","","","","","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","","Yhteislenkit","En",""
"2021/12/25 8:45:54 PM GMT+2","40-50","nainen","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","viidesti viikossa","2800m","nauttia luonnosta;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ei esteitä🤭","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Keskusta;Sippulanniemi;Vaajakoski","juoksen alkulämpät;omalla autolla","19-21","19-21","19-21","19-21","19-21","7-10;10-12","7-10;10-12;12-15","1 h 30 min;2 h;2 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","En","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan"
"2021/12/25 9:08:38 PM GMT+2","30-40","mies","puolimaratonin","kuudesti viikossa","3000m","lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;kisaaminen","Ajanpuute;Kaverin puute;Ruuhkavuodet","En","","Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Vaajakoski","","","","","","","","7-10","1 h","vetotreenejä;mäkitreeniä;intervalleja;Jotain uusia virikkeitä joita ei kotona tule tehtyä","helppoa neulaspolkua;paljon verttimetrejä","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","En ole uskaltanut osallistua","","En","Voisin harkita jos olisi joku lyhyt 5-15km matka"
"2021/12/25 9:18:07 PM GMT+2","40-50","nainen","puolimaratonin","kolmesti viikossa","Ei tulosta","lisätä juoksumatkaa","polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kuokkala;Sippulanniemi;Myllyjärvi;Vaajakoski","juoksen alkulämpät","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä","muutama päivä aiemmin riittää","","Yhteislenkit;Juoksukaverit;Facebook-läppä","Kyllä","Osallistuisin varmasti"
"2021/12/25 10:06:20 PM GMT+2","30-40","nainen","puolimaratonin","viidesti viikossa","2700m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polku- tai vuorijuoksu ulkomailla","ei mikään","En","","Keskusta;Aittovuori","juoksen alkulämpät","","","","","15-17","","10-12","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","Facebook-läppä","Kyllä","Osallistuisin varmasti"
"2021/12/25 10:28:27 PM GMT+2","40-50","nainen","1km lenkin;5km lenkin;10km lenkin;maratonin;ultran","viidesti viikossa","","voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","pyörällä;toisen kyydillä;omalla autolla","17-19;19-21","17-19;19-21","","17-19;19-21","","10-12;12-15;15-17;17-19;19-21","10-12;12-15;15-17;17-19;19-21","1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja;Vaihtelevasti kaikkea","","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","En","Osallistuisin varmasti"
"2021/12/25 10:38:12 PM GMT+2","50-60","nainen","puolimaratonin","viidesti viikossa","Ei tulosta","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Kyllä","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 11:15:23 PM GMT+2","40-50","nainen","ultran","kuudesti viikossa","2200m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Ajanpuute;ITRA pisteet;Laiskuus;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Halssila;Kanavuori;Vaajakoski","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","paljon verttimetrejä;nelivetopaikkoja","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit","Kyllä","Osallistuisin varmasti"
"2021/12/26 8:09:15 AM GMT+2","20-30","mies","puolimaratonin","8 kertaa viikossa","3200m","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Kaverin puute","En","","Halssila;Kuokkala;Keskusta;Sippulanniemi","juoksen alkulämpät;pyörällä","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","10-12;12-15","10-12;12-15","2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä","viikkoa aiemmin","En ole uskaltanut osallistua","Juoksublogit tai tarinat","En","Osallistuisin varmasti"
"2021/12/26 8:30:14 AM GMT+2","40-50","mies","puolimaratonin","viidesti viikossa","3100m","käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus","Jalkojen kestävyys","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Vaajakoski","omalla autolla","17-19","17-19","","17-19","17-19","12-15","12-15","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksublogit tai tarinat","En","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/26 9:08:05 AM GMT+2","40-50","nainen","ultran","viidesti viikossa","Ei tulosta","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","polkujuoksu pohjoisessa suomessa","Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Vaajakoski","toisen kyydillä;omalla autolla","5-7;19-21","5-7;19-21","5-7;19-21","5-7;19-21","5-7;19-21","10-12;12-15","7-10;10-12","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä","kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat;Muutkin varmasti, mutta pikkujoulujen päivä on osunut töiden kanssa päällekkäin ja kisamatkoilla majoitus on ollut muulta käsin. Mukava siellä on ollut nähdä tuttuja kasvoja. ","En","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/26 11:25:35 AM GMT+2","40-50","mies","ultran","neljästi viikossa","2800m","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","sitkeä rasitusvamma","En","","Sippulanniemi;Keljonkangas;Muurame","juoksen alkulämpät;pyörällä;omalla autolla","","","","","","","","1 h;1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit;Facebook-läppä;Juoksublogit tai tarinat;Riikan ja Petterin 50v juoksut","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan"
"2021/12/26 12:07:29 PM GMT+2","30-40","nainen","puolimaratonin","kolmesti viikossa","Ei tulosta","lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Kaikki mestat on sopivia","pyörällä;omalla autolla","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","10-12;12-15","10-12;12-15","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","Kyllä","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/26 2:19:18 PM GMT+2","50-60","mies","ultran","kuudesti viikossa","2800m","voittaa itselleni asettamat haasteet","polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Motivaatio","Joo","ihan sopiva kaikin puolin ja mukava","Kanavuori;Multamäki","Suoraan ovesta","","17-19","","","17-19","7-10","7-10","1 h 30 min","mäkitreeniä;pitkää raastoa","paljon verttimetrejä","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset","En","Osallistuisin varmasti"
"2021/12/26 3:30:19 PM GMT+2","40-50","nainen","puolimaratonin","neljästi viikossa","Ei tulosta","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Laiskuus;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","19-21","19-21","19-21","19-21","","10-12","10-12","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Juoksublogit tai tarinat","En",""
"2021/12/27 11:18:49 AM GMT+2","30-40","mies","puolimaratonin","neljästi viikossa","2600m","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute","En","","Laajis;Touruvuori;Halssila;Kanavuori","","17-19","17-19","17-19","17-19","17-19","","","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","","","","Osallistuisin varmasti"
"2021/12/27 11:24:37 PM GMT+2","40-50","mies","5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","seitsemästi viikossa","3200m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute","Joo","","Laajis;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki","juoksen alkulämpät;pyörällä;toisen kyydillä;omalla autolla","19-21","19-21","19-21","19-21","19-21","7-10;10-12;12-15","10-12;12-15","1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Kyllä","Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/29 8:12:35 PM GMT+2","0-20","mies","puolimaratonin","neljästi viikossa","Ei tulosta","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Kaverin puute","En","","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Vaajakoski","juoksen alkulämpät;pyörällä;toisen kyydillä","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21;>21","7-10;10-12;12-15;15-17;17-19;19-21;>21","45 min;1 h;1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;rymypätkiä;juurakkoa;suota","viikkoa aiemmin","En ole uskaltanut osallistua","","En","Osallistuisin varmasti"
"2021/12/29 10:08:49 PM GMT+2","40-50","nainen","puolimaratonin","neljästi viikossa","Ei tulosta","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ruuhkavuodet;Sairastelu ja siitä hidas toipuminen","Joo","minun tasolleni liian nopea","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Keljonkangas;Muurame","pyörällä;toisen kyydillä","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17","10-12","10-12;17-19","30 min;45 min;1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;mäkitreeniä;intervalleja;Sauvomistekniikkaa ","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","En ole päässyt osallistumaan","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Juoksublogit tai tarinat","En","Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2022/01/03 12:01:49 PM GMT+2","40-50","nainen","10km lenkin","neljästi viikossa","Ei tulosta","nauttia luonnosta;voittaa itselleni asettamat haasteet","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","En uskalla kulkea uusilla reiteillä yksin","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Keljonkangas;Myllyjärvi;Muurame","omalla autolla","","","","","","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää","En ole uskaltanut osallistua","Yhteislenkit;Juoksukaverit;Facebook-läppä","Kyllä","Tulisin paikan päälle hengailemaan"
"2022/01/03 5:43:05 PM GMT+2","30-40","mies","ultran","seitsemästi viikossa","3400m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Kisaan pääsee vain arvonnan kautta","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","juoksen alkulämpät;pyörällä;toisen kyydillä","","","","","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit;Pikkujoulut","Kyllä","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
